(1.10602, 0.0815959)   (4.93105, 5.0625)   (1.10602, 0.0815959)
(1.23835, 0.215122)   (4.80677, 5.12312)   (1.23835, 0.215122)
(1.39783, 0.404695)   (4.62325, 5.1813)   (1.39783, 0.404695)
(1.58589, 0.656928)   (4.37453, 5.23629)   (1.58589, 0.656928)
(1.80458, 0.982338)   (4.05175, 5.28697)   (1.80458, 0.982338)
(2.05641, 1.39823)   (3.64193, 5.33163)   (2.05641, 1.39823)
(2.34323, 1.93521)   (3.12745, 5.36809)   (2.34323, 1.93521)
(2.66003, 2.65347)   (2.50187, 5.39922)   (2.66003, 2.65347)
(2.96245, 3.68685)   (2.0537, 5.55743)   (2.96245, 3.68685)
(2.98104, 5.74242)   (6.50471, 4.67115)   (2.98104, 5.74242)
(3.21922, 7.85237)   (10.864, 3.96965)   (3.21922, 7.85237)
(3.51939, 9.97753)   (15.198, 3.30867)   (3.51939, 9.97753)
(3.85001, 12.1096)   (19.5203, 2.66497)   (3.85001, 12.1096)
(4.19893, 14.2457)   (23.836, 2.03081)   (4.19893, 14.2457)
(4.56011, 16.3842)   (28.1473, 1.40268)   (4.56011, 16.3842)
(4.93012, 18.5245)   (32.4557, 0.778723)   (4.93012, 18.5245)
(5.30678, 20.666)   (36.7617, 0.15781)   (5.30678, 20.666)
(5.68864, 22.8085)   (41.0661, -0.460778)   (5.68864, 22.8085)
(6.07469, 24.9517)   (45.3691, -1.07753)   (6.07469, 24.9517)
(6.46418, 27.0956)   (49.671, -1.69281)   (6.46418, 27.0956)
(6.85655, 29.2399)   (53.9719, -2.30686)   (6.85655, 29.2399)
(7.25137, 31.3847)   (58.2721, -2.91988)   (7.25137, 31.3847)
(7.64829, 33.5298)   (62.5716, -3.53203)   (7.64829, 33.5298)
(8.04705, 35.6753)   (66.8705, -4.14342)   (8.04705, 35.6753)
(8.44741, 37.821)   (71.169, -4.75416)   (8.44741, 37.821)
(8.84919, 39.9669)   (75.4669, -5.36433)   (8.84919, 39.9669)
(9.25224, 42.1131)   (79.7645, -5.97398)   (9.25224, 42.1131)
(9.65643, 44.2594)   (84.0618, -6.58318)   (9.65643, 44.2594)
(10.0616, 46.4059)   (88.3587, -7.19197)   (10.0616, 46.4059)
(10.4678, 48.5526)   (92.6554, -7.80039)   (10.4678, 48.5526)
(10.8748, 50.6994)   (96.9517, -8.40848)   (10.8748, 50.6994)
(11.2825, 52.8463)   (101.248, -9.01626)   (11.2825, 52.8463)
(11.691, 54.9933)   (105.544, -9.62376)   (11.691, 54.9933)
(12.1002, 57.1405)   (109.84, -10.231)   (12.1002, 57.1405)
(12.5099, 59.2877)   (114.135, -10.838)   (12.5099, 59.2877)
(12.9202, 61.435)   (118.431, -11.4448)   (12.9202, 61.435)
(13.331, 63.5824)   (122.726, -12.0514)   (13.331, 63.5824)
(13.7423, 65.7299)   (127.021, -12.6578)   (13.7423, 65.7299)
(14.1541, 67.8774)   (131.316, -13.2641)   (14.1541, 67.8774)
(14.5663, 70.025)   (135.611, -13.8701)   (14.5663, 70.025)
(14.9789, 72.1727)   (139.905, -14.476)   (14.9789, 72.1727)
(15.3918, 74.3204)   (144.2, -15.0818)   (15.3918, 74.3204)
(15.8052, 76.4682)   (148.494, -15.6874)   (15.8052, 76.4682)
(16.2188, 78.6161)   (152.789, -16.293)   (16.2188, 78.6161)
(16.6328, 80.764)   (157.083, -16.8983)   (16.6328, 80.764)
(17.0471, 82.9119)   (161.377, -17.5036)   (17.0471, 82.9119)
(17.4616, 85.0599)   (165.671, -18.1088)   (17.4616, 85.0599)
(17.8765, 87.2079)   (169.965, -18.7139)   (17.8765, 87.2079)
(18.2916, 89.356)   (174.259, -19.3188)   (18.2916, 89.356)
(18.7069, 91.5041)   (178.553, -19.9237)   (18.7069, 91.5041)
(19.1225, 93.6522)   (182.847, -20.5285)   (19.1225, 93.6522)
(19.5382, 95.8003)   (187.141, -21.1332)   (19.5382, 95.8003)
(19.9542, 97.9485)   (191.434, -21.7378)   (19.9542, 97.9485)
(20.3704, 100.097)   (195.728, -22.3424)   (20.3704, 100.097)
(20.7868, 102.245)   (200.022, -22.9468)   (20.7868, 102.245)
(21.2034, 104.393)   (204.315, -23.5513)   (21.2034, 104.393)
(21.6202, 106.542)   (208.609, -24.1556)   (21.6202, 106.542)
(22.0371, 108.69)   (212.902, -24.7599)   (22.0371, 108.69)
(22.4542, 110.838)   (217.195, -25.3641)   (22.4542, 110.838)
(22.8715, 112.987)   (221.489, -25.9682)   (22.8715, 112.987)
(23.2889, 115.135)   (225.782, -26.5723)   (23.2889, 115.135)
(23.7064, 117.284)   (230.075, -27.1764)   (23.7064, 117.284)
(24.1241, 119.432)   (234.368, -27.7804)   (24.1241, 119.432)
(24.5419, 121.58)   (238.661, -28.3843)   (24.5419, 121.58)
(24.9599, 123.729)   (242.955, -28.9882)   (24.9599, 123.729)
(25.378, 125.877)   (247.248, -29.5921)   (25.378, 125.877)
(25.7962, 128.026)   (251.541, -30.1959)   (25.7962, 128.026)
(26.2145, 130.175)   (255.834, -30.7996)   (26.2145, 130.175)
(26.633, 132.323)   (260.127, -31.4034)   (26.633, 132.323)
(27.0515, 134.472)   (264.42, -32.007)   (27.0515, 134.472)
(27.4702, 136.62)   (268.713, -32.6107)   (27.4702, 136.62)
(27.8889, 138.769)   (273.005, -33.2143)   (27.8889, 138.769)
(28.3078, 140.917)   (277.298, -33.8178)   (28.3078, 140.917)
(28.7267, 143.066)   (281.591, -34.4214)   (28.7267, 143.066)
(29.1458, 145.215)   (285.884, -35.0248)   (29.1458, 145.215)
(29.565, 147.363)   (290.177, -35.6283)   (29.565, 147.363)
(29.9842, 149.512)   (294.469, -36.2317)   (29.9842, 149.512)
(30.4035, 151.661)   (298.762, -36.8351)   (30.4035, 151.661)
(30.8229, 153.81)   (303.055, -37.4385)   (30.8229, 153.81)
(31.2424, 155.958)   (307.347, -38.0418)   (31.2424, 155.958)
(31.662, 158.107)   (311.64, -38.6451)   (31.662, 158.107)
(32.0816, 160.256)   (315.933, -39.2484)   (32.0816, 160.256)
(32.5013, 162.404)   (320.225, -39.8516)   (32.5013, 162.404)
(32.9211, 164.553)   (324.518, -40.4548)   (32.9211, 164.553)
(33.341, 166.702)   (328.81, -41.058)   (33.341, 166.702)
(33.7609, 168.851)   (333.103, -41.6612)   (33.7609, 168.851)
(34.181, 171)   (337.396, -42.2643)   (34.181, 171)
(34.601, 173.148)   (341.688, -42.8675)   (34.601, 173.148)
(35.0212, 175.297)   (345.981, -43.4706)   (35.0212, 175.297)
(35.4414, 177.446)   (350.273, -44.0736)   (35.4414, 177.446)
(35.8616, 179.595)   (354.565, -44.6767)   (35.8616, 179.595)
(36.2819, 181.744)   (358.858, -45.2797)   (36.2819, 181.744)
(36.7023, 183.893)   (363.15, -45.8827)   (36.7023, 183.893)
(37.1227, 186.041)   (367.443, -46.4857)   (37.1227, 186.041)
(37.5432, 188.19)   (371.735, -47.0887)   (37.5432, 188.19)
(37.9638, 190.339)   (376.027, -47.6916)   (37.9638, 190.339)
(38.3844, 192.488)   (380.32, -48.2945)   (38.3844, 192.488)
(38.805, 194.637)   (384.612, -48.8974)   (38.805, 194.637)
(39.2257, 196.786)   (388.904, -49.5003)   (39.2257, 196.786)
